Date,LKR_per_Oz,LKR_per_XAU_Inverse
2022-12-15,652343.9160,0
2022-12-14,657430.2519,0
2022-12-13,647864.0907,0
2022-12-12,649416.6852,0
2022-12-09,651082.5374,0
2022-12-08,647598.9693,0
2022-12-06,644150.5752,0
2022-12-05,656347.4593,0
2022-12-02,652701.4607,0
2022-12-01,644694.9371,0
2022-11-30,636340.8188,0
2022-11-29,634395.9497,0
2022-11-28,635135.6550,0
2022-11-25,638232.0450,0
2022-11-24,637902.8603,0
2022-11-23,632470.0075,0
2022-11-22,633440.5525,0
2022-11-21,634287.5075,0
2022-11-18,641035.8850,0
2022-11-17,642808.5291,0
2022-11-16,645810.4575,0
2022-11-15,644074.7450,0
2022-11-14,640354.3225,0
2022-11-11,636157.7150,0
2022-11-10,620801.6575,0
2022-11-09,621090.6400,0
2022-11-08,608079.1575,0
2022-11-04,594693.2700,0
2022-11-03,595130.8125,0
2022-11-02,599083.5165,0
2022-11-01,595381.4895,0
2022-10-31,596771.1120,0
2022-10-28,604907.2155,0
2022-10-27,604389.5130,0
2022-10-26,601056.2355,0
2022-10-25,598982.8737,0
2022-10-21,590981.2461,0
2022-10-20,589856.5850,0
2022-10-19,600111.1686,0
2022-10-18,599593.3521,0
2022-10-17,599749.6055,0
2022-10-14,605722.9671,0
2022-10-13,606203.0570,0
2022-10-12,603682.3355,0
2022-10-11,604406.6476,0
2022-10-07,620462.9948,0
2022-10-06,624494.6505,0
2022-10-05,624295.0555,0
2022-10-04,615639.8905,0
2022-10-03,604681.2178,0
2022-09-30,602776.9000,0
2022-09-29,600537.5711,0
2022-09-28,589447.5830,0
2022-09-27,591531.8447,0
2022-09-26,595644.1005,0
2022-09-23,606412.2326,0
2022-09-22,602193.7016,0
2022-09-21,604566.8135,0
2022-09-20,608316.5685,0
2022-09-19,605567.4014,0
2022-09-16,603341.2095,0
2022-09-15,614340.0643,0
2022-09-14,617398.9429,0
2022-09-13,623772.3659,0
2022-09-12,621279.8490,0
2022-09-09,621594.8879,0
2022-09-08,620660.9428,0
2022-09-07,614040.1831,0
2022-09-06,620792.1823,0
2022-09-05,617806.6053,0
2022-09-02,613501.7358,0
2022-09-01,615711.2287,0
2022-08-31,622173.1342,0
2022-08-30,626579.8277,0
2022-08-29,623633.3045,0
2022-08-26,634418.9433,0
2022-08-25,633813.8551,0
